irumeng	iru(N)^[Abl_Mod.Sg]
piniqsaliiteghllagumakangak	?^–ghllag(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Du.3Sg]
ellngitni	ellngitni(PRO.Loc.3Pl)
kiyaghteghpakaamalghii	kiyaghte(V)^@–ghpagte(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
ivaagwaqeftaat	ivagh(V)^~:(ng)u(V→V)^~(g)aqe(V→V)^+(pete)fte(V→V)^[Ind.Trns]^[3Pl.3Sg]
ellmineng	ellmineng(PRO.Abl_Mod.4Sg)
neneghqestaaghhaaguq 	neneghqestaaghhagh*(N)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
Angalgaaguq	Angalgagh(N)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
Angalgaam	Angalgagh(N)^[Rel.Sg]
Angalgaq	Angalgagh(N)^[Abs.Sg]
Qaneghmiguq	Qaneghmig(N)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
igaqegkanghhaqa 	igaqegkagh(N)^@–nghhagh(V→N)^[Abs.1SgPoss.Sg]
kanaghnnanighsigu 	kanaghte(V)^@~fnanigh(V→V)^[Intrg.Trns]^[2Sg.3Sg]
alpemenun 	alpem(N)^[All.Sg]
elpeneng 	elpeneng(PRO.Abl_Mod.2Sg)
ayemruugta 	ayemruugte(V)^[Abs.Sg]
meghnaalillu 	meghnaali(V)^[Abs.Sg]^=llu
sumeghtaghatkenanghisigu 	sumeghtaghagh(V)^@~:(u)tke(V→V)^@~fnanigh(V→V)^[Intrg.Trns.2Sg.3Sg]
sumeghtaghatkenanghisigu 	sumeghtaghagh(V)^@~:(u)tke(V→V)^@~fnanigh(V→V)^[Intrg.Trns.2Sg.3Sg]
Kerita	Kerita(N)^[Abs.Sg]
Keritam	Kerita(N)^[Rel.Sg]
angtilleghpeneng	angli(V)^–llegh(V→N)^[Abl_Mod.2SgPoss.Sg]
naay	naa(N)^[Voc.Sg]
kallagtaqaak	kallagte(V)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Du]
kallagtaqaak	kallagte(V)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Du]
Patim	Pati(N)^[Rel.Sg]
haluu	haalu(PTCL)
ataay	ata(N)^[Voc.Sg]
nunmaasqughhaq	nunmaakw(PTCL)^–squghhagh*(N→N)^[Abs.Sg]
krawna 	krawna(N)^[Abs.Sg]
tamaastaqi	tamaa(V)^+(te)ste(CmpdVbl)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Pl]
guutma 	ggute(N)^[Rel.1SgPoss.Pl]
krawnem	krawna(N)^[Rel.Sg]
Ggutlum	Ggutlu(N)^[Rel.Sg]
Qiitam	Qiitagh(N)^[Rel.Sg]
asiiliq	asiligh*(N)^[Abs.Sg]
kii-i	kii-i(XCLM)
Paapgaq	Paapgagh(N)^[Abs.Sg]
neqekaghqameng	neqe(N):^~–kaghqagh(N→N)^[Abl_Mod.Sg]
itghutaqitek 	itegh(V)^~:(ng)u(V→V)^+tagh(V→V)^[Ptcp.Trns]^[3Sg.2Du]
afsengaghniighusimeng	afsengagh*(N)^@~fniigh(N→V)^~:(u)sigh(V→N)^[Abl_Mod.Sg]
ungelekestaghhaamaghmi 	ungelegte(V)^–kestagh(V→V)^@~:(i/u)magh*(V→QUANTQUAL)^[4Sg]
ungelekestaghhaamaghmi 	ungelegte(V)^–kestagh(V→V)^@~:(i/u)magh*(V→QUANTQUAL)^[4Sg]
naaqerrewaaghumalghii 	naagh(V)^+regagh(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
naaqerrewaaghumalghii 	naagh(V)^+regagh(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
yuginniluku 	yug(N)^?^[Sbrd.Intr]^[4Sg]
ivaghiyaghnanighnayaghtunga 	ivagh(V)^~i(V→V)^@~fyagh(V→V)^@~fnanigh(V→V)^@~fnayagh(V→V)^[Ind.Intr]^[1Sg]
Paapgallegaghhaq 	Paapgagh(N)^–llegagh*(N→N)^–ghhagh*(N→N)^[Abs.Sg]
suumqeghpenakek 	suumqagh(N)^@–nghite(V→V)^[Sbrd.Trns]^[_.3Du]
suumqeghpenakek 	suumqagh(N)^@–nghite(V→V)^[Sbrd.Trns]^[_.3Du]
qiighnitaghamikun 	qiighnite(V)^+aagh(V→N)^[Prl.4SgPoss.Sg]
qiighnitaghamikun 	qiighnite(V)^+aagh(V→N)^[Prl.4SgPoss.Sg]
iingkugnun 	iingku(DEM.PRO)^[All.Du]
qugaagsighaq 	qugaagsighagh(V)^[Abs.Sg]
pugimnaqragkiighumayalghii 	pugime(V)^@~fnaqe(V→V)^@~f–ragkiigh(V→V)^@~:(i/u)ma(V→V)^[PtcpObl.Intr]^[3Sg]
alqutaghpagem 	alquutagh(V)^+pag(V→V)^[Rel.Sg]
alqutaghpagem 	alquutagh(V)^+pag(V→V)^[Rel.Sg]
mesaaqetun 	mesaagh(V)^[Equ.Sg]
mesaaqetun 	mesaagh(V)^[Equ.Sg]
nevuutaghamalghii 	nevuutagha(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
nevuutaghamikun 	nevuutagha(V)^[Prl.4SgPoss.Sg]
nevaghangitgun 	nevagha(V)^[Prl.3PlPoss.Sg]
mesaaq 	mesaagh(V)^[Abs.Sg]
aglamaluni 	aglagh(V)^@~:(i/u)ma(V→V)^[Sbrd.Intr]^[4Sg]
afsengaghestun 	afsengagh*(N)^[Equ.Du]
Kaasuq	Kaasugh(N)^[Abs.Sg]
Paapgaagunga 	Paapgagh(N)^~:(ng)u(N→V)^[Ind.Intr]^[1Sg]
Paapgaghunga 	Paapgagh(N)^~:(ng)u(N→V)^[Ind.Intr]^[1Sg]
guughngaghmi 	guugh(POS)^[Conc.Intr]^[4Sg]
guughngaghmi 	guugh(POS)^[Conc.Intr]^[4Sg]
ungipaasisteng 	ungipaate(V)^[Cnsq1.Trns]^[3Pl.4Pl]
ugharramun 	ugharre(N)^[All.Sg]
ugharratuqaq 	ugharre(N)^–tuqagh(N→N)^[Abs.Sg]
taam 	taam(PTCL)
ateqsunghisamigu	ategh(N)^@~fyug(N→V)^@–nghite(V→V)^[Cnsq1.Trns]^[4Sg.3Sg]
ateqsunghisamigu	ategh(N)^@~fyug(N→V)^@–nghite(V→V)^[Cnsq1.Trns]^[4Sg.3Sg]
aqniqhtuq	aqnighte(V)^[Ind.Intr]^[3Sg]
utaqigi 	utaqa(V)^[Opt.Pres.Intr.2Sg]
iqitesnaagha 	iqite(V)^+(te)ste(CmpdVbl)^@~fnaagh(V→V)^[Ind.Trns]^[3Sg.3Sg]
kiyaghtestaqi	kiyaghte(V)^+(te)ste(CmpdVbl)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Pl]
iiyegken 	iye(N)^[Abs.2SgPoss.Du]
ka-a	ka-a(XCLM)
quneghllukek	qunegh(POS)^+te(POS→ACTIVE)^[Sbrd.Trns]^[_.3Du]
iqitestagwu	iqite(V)^+(te)ste(CmpdVbl)^[Intrg.Trns]^[3Sg.3Sg]
supeliighmeng 	suupeliigh(N)^[Abl_Mod.Sg]
neqekranglaghtuq 	neqekrangllagh(V)^[Ind.Intr]^[3Sg]
taghnughaq 	taghnughhagh*(N)^[Abs.Sg]
aghvigimaghmeng	aghvig(V)^@~:(i/u)magh*(V→QUANTQUAL)^[4Pl]
tanughqimaghmeng 	tanughqe(V)^@~:(i/u)magh*(V→QUANTQUAL)^[4Pl]
Kapik	Kapig(N)^[Abs.Sg]
Kellum	Kellu(N)^[Rel.Sg]
Maasum	Maasu(N)^[Rel.Sg]
Paapam	Paapa(N)^[Rel.Sg]
Siksik	Siksig(N)^[Abs.Sg]
neqangiinnaqneghmegni 	neqe(N)^~:(ng)ite(N→V)^@~fnaqe(V→V)^@~f–negh(V→N)^[Loc.4PlPoss.Sg]
neqangiinnaqneghmegni 	neqe(N)^~:(ng)ite(N→V)^@~fnaqe(V→V)^@~f–negh(V→N)^[Loc.4PlPoss.Sg]
neqangiinnaqneghmegni 	neqe(N)^~:(ng)ite(N→V)^@~fnaqe(V→V)^@~f–negh(V→N)^[Loc.4PlPoss.Sg]
neqangiinnaqneghmegni 	neqe(N)^~:(ng)ite(N→V)^@~fnaqe(V→V)^@~f–negh(V→N)^[Loc.4PlPoss.Sg]
tuyeftupigniluni 	tuyeftu(V)^–pig(N→N)^@~fni(CmpdVbl)^[Sbrd.Intr]^[4Sg]
qenngiilliqepiglluni 	qenngulliqe(V)^–pigte(V→V)^[Sbrd.Intr]^[4Sg]
ggaatfaka 	ggate(N)^~f–vag(V→V)^[Abs.1SgPoss.Sg]
puughtingham 	puughte(V)^~i(V→V)^[Ctmp.Intr]^[3Sg]
kevgani 	keveg(V)^[Loc.3SgPoss.Sg]
umiillgaam 	umiillgagh*(N)^[Rel.Sg]
aglaasaghqameng 	aglaasaghqagh(N)^[Abl_Mod.Sg]
quyapigluni 	quya(V)^–pig(N→N)^[Sbrd.Intr]^[4Sg]
nemegnun 	ne(N)^[All.4PlPoss.Sg]
neghqwaghviggaanka 	?
taakunginaghaagneng 	?
esneghagnekun 	esneghagh(N)^[Prl.Du]
mataghlluni	matagh*(POS)^[Sbrd.Intr]^[4Sg]
ha	ha(XCLM)
haa	haa(XCLM)
pimyaqanga	pi(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
sikughaghet 	sikughaagh(N)^[Abs.Pl]
agʼghiyugneghllak 	ag'ghiyugnegh(N)^–ghllag(N→N)^[Abs.Sg]
aaghnneghllugllak	aaghhneghllug(N)^–ghllag(N→N)^[Abs.Sg]
aaghnneghlliqumalghii 	aaghhneghlliqe(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
esnenqitni 	esne(N)^[Loc.3PlPoss.Sg]
saam	saam(PTCL)
aaghnneghlliqumazinga	aaghhneghlliqe(V)^@~:(i/u)ma(V→V)^[Intrg.Intr.1Sg]
aaghnneghlliqellghaneng 	aaghhneghlliqe(V)^–llegh(V→N)^[Abl_Mod.3SgPoss.Sg]
piniighqwaamakanga 	pinighqaa(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
piniighqwaamakanga 	pinighqaa(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
Kiiluum	Kiiluuq(N)^[Rel.Sg]
Kiiluuq	Kiiluuq(N)^[Abs.Sg]
leganʼnguq	legan(PTCL)=nguq
elqwaaghniighpenaniqagit	elqwaagh(N)^@~fniigh(N→V)^@–nghite(V→V)^[Sbrd.Intr]^[4Sg]
qagighllaguftughnguq	qagi(N)^–ghllag(N→N)^~:(ng)u(N→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]=nguq
Kulusiim	Kulusigh(N)^[Rel.Sg]
Kulusiimllu	Kulusigh(N)^[Rel.Sg]^=llu
Paansu	Paansu(N)^[Abs.Sg]
Kulusiim	Kulusigh(N)^[Rel.Sg]
Paansunkuk	Paansu(N)^~sf-w:(e)nku(N→N)^[Abs.Du]
ahulaquq	aghulaqe(V)^[Ind.Intr]^[3Sg]
Unuusisukanga	Unuusisukanga(N)^[Abs.Sg]
aanyugllaghngaaghmi	aane(V)^@~fyug(V→V)^–ghllag(V→V)^[Conc.Intr]^[4Sg]
qepuughluni	keptugh(V)^[Sbrd.Intr]^[4Sg]
aaghhwmeng	aaghhwe(V)^[Abl_Mod.Sg]
pegnenqegsaq	pegnem(PTCL)^@–nqegsagh(V→V)^[Abs.Sg]
qenaghugmun	qengaghug(N)^[All.Sg]
agaveqaaghaq	agaveqaaghaq(PTCL)
igkamsugmeng	igkamsug(V)^[Abl_Mod.Sg]
nengluminun	nenglu(N)^[All.4SgPoss.Sg]
anigutuumaghllaqmi	anigu(N)^+tuumagh*(N→QUANTQUAL)^–ghllag(N→N)^[Loc.Sg]
anigutuumaghllaqmi	anigu(N)^+tuumagh*(N→QUANTQUAL)^–ghllag(N→N)^[Loc.Sg]
itqaghlluni	itegh(V)^~–qaghte(V→V)^[Sbrd.Intr]^[4Sg]
tunutanganun	tunute(V)^[All.3SgPoss.Sg]
tunutanganun	tunute(V)^[All.3SgPoss.Sg]
kakavruugteghllak	kakavruugte(V)^–ghllag(V→N)^[Abs.Sg]
repallnguq	repall(PTCL)^=nguq
pekam	pekagh(V)^[Rel.Sg]
sangughIlak	sa(V)^~:(ng)u(V→V)^–ghllag(V→N)^[Abs.Sg]
tagiivaghhu	tagivagh(V)^[Opt.Pres.Trns.2Sg.3Sg]
sangwa	sa(V)^~:(ng)u(V→V)^[Intrg.Intr]^[3Sg]
ii	ii(PTCL)
qiyanaqumaghminguq	qiya(V)^@~fnaqe(V→V)^@~:(i/u)magh*(V→QUANTQUAL)^[4Sg]^=nguq
gaallghaagken	gaagh(V)^–llegh(V→N)^~:(ng)u(N→V)^[Ind.Trns]^[3Pl.3Du]
talaghillghiim	talaghitagh(V)^@–lghii(V→N)^[Rel.Sg]
Unuusisukangam	Unuusisukanga(N)^[Rel.Sg]
ipesaghaaghumaa	ipeg(V)^+saghagh(CmpdVbl)^@~:(i/u)ma(V→V)^[Ind.Trns]^[3Sg.3Sg]
hee	hee(XCLM)
gaallghaagket	gaagh(V)^–llegh(V→N)^~:(ng)u(N→V)^[Ind.Trns]^[2Sg.3Du]
awatangitnilghuuk	awate(N)^[Abs.3PlPoss.Pl]^?
kinatuq 	kina(WH)^[Ind.Intr]^[3Sg]
kinatuq 	kina(WH)^[Ind.Intr]^[3Sg]
ulleghaatut	ullegh(V)^?^[Ind.Intr]^[3Pl]
kelqaak 	kelqe(V)^[Ind.Trns]^[3Sg.3Du]
siingaak	siinge(V)^[Ind.Trns]^[3Sg.3Du]
haam	haam(XCLM)
hu	hu(XCLM)
Kanullu	Kanu(N)^[Abs.Sg]=llu
Tati	Tati(N)^[Abs.Sg]
Tatim	Tati(N)^[Rel.Sg]
Tinanum	Tinana(N)^[Rel.Sg]
eskiitaak	eskiite(V)^[Ind.Intr]^[3Du]
piltungi	pi(V)^?^[Opt.Pres.Intr.2Sg]
nagaqughsigu-u	nagaqugh(V)^[Intrg.Trns]^[2Sg.3Sg]
hilikaptera	hilikaptera(N)^[Abs.Sg]
quneghtaqatkii	qunegh(POS)^+te(POS→ACTIVE)^~(g)aqe(V→V)^[Intrg.Trns]^[3Pl.3Pl]
nuyeklliigut 	nuyekligh(N)^~:(ng)u(N→V)^[Ind.Intr]^[3Pl]
yugsugnightestaqii 	yugsugnite(V)^+(te)ste(CmpdVbl)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Pl]
taakughfaqut	taake(V)^~:(ng)ughte(N→V)^~(g)aqe(V→V)^[Ind.Intr]^[3Pl]
nersa	nerse(N)^[Abs.Sg]
nersem	nerse(N)^[Rel.Sg]
iikesnaqaqaak	iike(V)^+(te)ste(CmpdVbl)^@~fnaqe(V→V)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Du]
tamanganun	tamaghhagh*(QUANTQUAL)^[All.3SgPoss.Sg]
Tamniim	Tamnigh(N)^[Rel.Sg]
haaspetel-mi	hospital(N)^[Loc.Sg]
estugaghlleghi 	estugagh(N)^–llegh(V→N)^[Loc.Sg]
tuuna 	tuune(V)^[Ind.Trns]^[3Sg.3Sg]
kugarameng 	kugara(N)^[Abl_Mod.Sg]
ketanquq 	ketanqu(V)^[Ind.Intr]^[3Sg]
tukfighileqa 	tukfigh(V)^@lleqe(V→V)^[Intrg.Intr]^[3Sg]
kavighet 	kaviigh(N)^[Abs.Pl]
elpaak	elpek(PRO.AbsRel.2Sg)
Piisam	Piisagh(N)^[Rel.Sg]
Piisaq	Piisagh(N)^[Abs.Sg]
yataaghqaqaghput	yataaghqe(V)^~(g)aqe(V→V)^@~–(g)kagh(V→N)^[Abs.1PlPoss.Pl]
yataaghqaqaghput	yataaghqe(V)^~(g)aqe(V→V)^@~–(g)kagh(V→N)^[Abs.1PlPoss.Pl]
piitesiighallghem	piitesighagh(V)^–llegh(V→N)^[Rel.Sg]
tengtekayugii	tenge(V)^@~–(g)kayugu(V→V)^[Ind.Trns]^[3Sg.3Pl]
tengtekayugii	tenge(V)^@~–(g)kayugu(V→V)^[Ind.Trns]^[3Sg.3Pl]
iirmi	iir(N)^[Loc.Sg]
cabbage-t	cabbage(N)^[Abs.Pl]
garden-mi	garden(N)^[Loc.Sg]
puqlalghiimi	puqlate(V)^@–lghii(V→N)^[Loc.Sg]
desert-mi	desert(N)^[Loc.Sg]
piitesiighaam	piitesighagh(N)^[Rel.Sg]
piitesiighaam	piitesighagh(N)^[Rel.Sg]
Venus	Venus(N)^[Abs.Sg]
fly	fly(N)^[Abs.Sg]
trap-a	trap(N)^[Abs.Sg]
neqekelghi	neqe(N)^@~–(g)ke(V→N)^[Ptcp.Intr]^[3Sg]
neqekelghi	neqe(N)^@~–(g)ke(V→N)^[Ptcp.Intr]^[3Sg]
neghigkayuget	neghe(V)^~–kayug(V→N)^[Rel.Pl]
petgankut	petgagh(V)^~sf-w:(e)nku(N→N)^[Abs.Pl]
nuyaaghenkut	nuyaagh(V)^~sf-w:(e)nku(N→N)^[Abs.Pl]
legrengiighhaankut	legre(V)^~fngiighhagh*(N→N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
nalughqutavalluq	nalughqutagh(V)^~f(p/v)allugh(N→N)^[Abs.Sg]
nalughqutavalluq	nalughqutagh(V)^~f(p/v)allugh(N→N)^[Abs.Sg]
nuyaaq	nuyaagh(V)^[Abs.Sg]
legrengiighhaq	legre(V)^~fngiighhagh*(N→N)^[Abs.Sg]
igleghhneghpalluq	igleghte(V)^@~f–negh(V→N)^~f(p/v)allugh(N→N)^[Abs.Sg]
piigelghiit	?
kaaluku	kaate(V)^[Sbrd.Trns]^[_.3Sg]
tagilaghaasimalghiit	tagi(V)^~f–laghate(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Pl]
petgam	petgagh(V)^[Rel.Sg]
legrengiighhaam	legre(V)^~fngiighhagh*(N→N)^[Rel.Sg]
kaannaqngisteng	kaate(V)^@~fnaqe(V→V)^[Conc.Trns]^[3Sg.4Pl]
metghaghneng	metghagh(N)^[Abl_Mod.Pl]
ugavaghamalghiit	ugavagh(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Pl]
ugavaghamalghiit	ugavagh(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Pl]
reghiteftuk	reghete(V)^+(pete)fte(V→V)^[Ind.Intr]^[3Du]
igleghtem	igleghte(V)^[Rel.Sg]
Tinanankuk	Tinana(N)^~sf-w:(e)nku(N→N)^[Abs.Du]
Ipinkuk	Ipi(N)^~sf-w:(e)nku(N→N)^[Abs.Du]
Tinanam	Tinana(N)^[Rel.Sg]
pitta	pite(V)^[Ind.Trns]^[3Sg.3Sg]
Ipim	Ipi(N)^[Rel.Sg]
Simam	Sima(N)^[Rel.Sg]
angeghyesteng	angegh(V)^[Cnsq1.Trns]^[3Sg.4Pl]
piitesiighaghmeng	piitesighagh(N)^[Abl_Mod.Sg]
piitesiighaghmeng	piitesighagh(N)^[Abl_Mod.Sg]
Simankuk	Sima(N)^~sf-w:(e)nku(N→N)^[Abs.Du]
Sima	Sima(N)^[Abs.Sg]
Tinana	Tinana(N)^[Abs.Sg]
mangtaaghhat	mangteghagh(N)^[Abs.Pl]
qafsinwaat	qafsineg(WH)^~:(ng)u(N→V)^[Ind.Trns]^[3Pl.3Sg]
takwaaghaataghnaluki	[Anaphor]^uka(DEM.ADV)^+aghaghte(V→V)^[Sbrd.Trns]^[_.3Pl]
takwaaghaataghnaluki	[Anaphor]^uka(DEM.ADV)^+aghaghte(V→V)^[Sbrd.Trns]^[_.3Pl]
aghhutanga	aghhutanga tamaghhaan(PTCL)
tamaghhan	tamaghhagh*(QUANTQUAL)^[3Sg]
aaghhwmeng	aaghhwe(V)^[Abl_Mod.Sg]
Patam	Pata(N)^[Rel.Sg]
ii	ii(PTCL)
Ipi	Ipi(N)^[Abs.Sg]
saaghwinun	saaghw(AREA)^[All.Pl]
sanivaghluteng	sanivagh(V)^[Sbrd.Intr]^[4Pl]
saaghwini	saaghw(AREA)^[Loc.Pl]
ataasikaghtaan	ataasigh(NUM)^+kaghtagh(DEM→N)^[Rel.3SgPoss.Sg]
Patankut	Pata(N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
naasqwit	naasqugh(N)^[Abs.3PlPoss.Pl]
wha-a	wha-a(XCLM)
naantefta	na(WH)^?^+(pete)fte(V→V)^[Intrg.Intr]^[3Sg]
maligtemmeng	malighte(V)^[Abl_Mod.Sg]
kamerragem	kamek(N)^–raagh(N→N)^[Rel.Sg]
ayemtaasaghtuultegneki	ayemte(V)^+saghtugh(V→V)^[Opt.Pres.Trns]^[1Du.3Pl]
ghumalghii	ighsa(V)^~–(ghw/ngw/w)aagh(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
amestaapigtuk	amestaagh(V)^–pigte(V→V)^[Ind.Intr]^[3Du]
esghamsiighwaghluni	esghagh(V)^–msiigh(V→V)^~–(ghw/ngw/w)aagh(V→V)^[Sbrd.Intr]^[4Sg]
quneghqelluni	qunegh(POS)^+qe(V→V)^[Sbrd.Intr]^[4Sg]
ullghitaperegwaaghumaghmi	ullghitagh(V)^–perewaagh(V→N)^@~:(i/u)magh*(V→QUANTQUAL)^[4Sg]
ullghitaperegwaaghumaghmi	ullghitagh(V)^–perewaagh(V→N)^@~:(i/u)magh*(V→QUANTQUAL)^[4Sg]
pagunʼghameng	pagunghagh*(N)^[Abl_Mod.Sg]
pagunʼghameng	pagunghagh*(N)^[Abl_Mod.Sg]
ugpeghqwaamakanga	ugpegh(V)^~–(ghw/ngw/w)aagh(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
ugpeghqwaamakanga	ugpegh(V)^~–(ghw/ngw/w)aagh(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
uyghamqiighaghhaghmeng	uyghamqiighwagh(N)^[Abl_Mod.Sg]
uqigtulngiighhaghmitun	uqigtutala(N)^~fngiighhagh*(N→N)^[Equ.4SgPoss.Sg]
aliinghakuun	aliinegh(N)^[Prl.3SgPoss.Sg]
ellmeggneng	ellmeggneng(PRO.Abl_Mod.4PlPoss.Sg)
atighlleqaghput	atigh(V)^–lleghqagh(V→N)^[Abs.1PlPoss.Sg]
enkam	enkaam(PTCL)
tagnetghii	tagnegh(V)^[Ptcp.Intr]^[3Sg]
oawaagpagenkut	qawaagpag(N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
oawaagpagnguq	qawaagpag(N)^[Abs.Sg]^=nguq
oatelghii	qategh(V)^[Ptcp.Intr]^[3Sg]
allgha	aag(V)^-llegh(V→N)^[Abs.3SgPoss.Sg]
Kulusiim	Kulusigh(N)^[Rel.Sg]
Paansu	Paansu(N)^[Abs.Sg]
Paansum	Paansu(N)^[Rel.Sg]
Kulusighmun	Kulusigh(N)^[All.Sg]
Paansullu	Paansu(N)^[Abs.Sg]^=llu
